@relation weka

@attribute Tipodeusuario {NewVisitor,ReturningVisitor}
@attribute Fecha numeric
@attribute Sesiones numeric
@attribute PorcentajeNuevasSesiones numeric
@attribute Usuariosnuevos numeric
@attribute Porcentajedrebote numeric
@attribute Paginassesion numeric
@attribute Duracionmedia numeric
@attribute Porcentajedconversionesdelobjetivo numeric
@attribute Objetivoscumplidos numeric
@attribute Valordelobjetivo numeric

@data
ReturningVisitor,20170610,1570,0,0,84.65,1.3,79.43,0,0,0
NewVisitor,20160412,1563,100,1563,90.85,1.14,33.13,0,0,0
NewVisitor,20170529,1562,100,1562,85.79,1.23,44.04,0,0,0
ReturningVisitor,20170716,1559,0,0,84.48,1.29,69.96,0,0,0
NewVisitor,20161020,1558,100,1558,88,1.22,36.57,0,0,0
NewVisitor,20150809,1557,100,1557,91.71,1.11,22.87,0,0,0
NewVisitor,20160512,1557,100,1557,87.48,1.2,48.44,0,0,0
ReturningVisitor,20170721,1556,0,0,80.21,1.32,55.74,0,0,0
NewVisitor,20170616,1551,100,1551,87.43,1.22,49.42,0,0,0
ReturningVisitor,20170213,1544,0,0,87.5,1.22,59.98,0,0,0
ReturningVisitor,20170615,1543,0,0,88.08,1.23,53.5,0,0,0
NewVisitor,20160724,1531,100,1531,94.38,1.08,15.41,0,0,0
ReturningVisitor,20170724,1514,0,0,82.69,1.37,64.95,0,0,0
ReturningVisitor,20161121,1510,0,0,84.83,1.26,73.51,0,0,0
ReturningVisitor,20170530,1504,0,0,83.51,1.29,62.66,0,0,0
ReturningVisitor,20170211,1502,0,0,86.02,1.27,58.95,0,0,0
NewVisitor,20170709,1500,100,1500,86.6,1.24,39.78,0,0,0
NewVisitor,20161009,1491,100,1491,90.61,1.15,33.94,0,0,0
ReturningVisitor,20170504,1491,0,0,89.81,1.18,30.62,0,0,0
NewVisitor,20161219,1488,100,1488,88.24,1.24,39.78,0,0,0
ReturningVisitor,20170717,1470,0,0,83.13,1.34,70.28,0,0,0
NewVisitor,20170215,1462,100,1462,88.92,1.25,26.69,0,0,0
ReturningVisitor,20170604,1461,0,0,88.91,1.22,49.97,0,0,0
NewVisitor,20151103,1458,100,1458,85.19,1.24,51.14,0,0,0
NewVisitor,20170404,1445,100,1445,90.03,1.16,22.48,0,0,0
NewVisitor,20160708,1442,100,1442,90.57,1.17,29.48,0,0,0
NewVisitor,20161029,1441,100,1441,69.4,1.45,27.53,0,0,0
ReturningVisitor,20170523,1436,0,0,84.47,1.26,80.72,0,0,0
NewVisitor,20170615,1434,100,1434,90.31,1.16,35.92,0,0,0
NewVisitor,20170526,1427,100,1427,90.4,1.13,21.39,0,0,0
NewVisitor,20160904,1425,100,1425,93.05,1.13,22.84,0,0,0
NewVisitor,20170213,1425,100,1425,90.11,1.22,34.22,0,0,0
ReturningVisitor,20161010,1417,0,0,86.52,1.23,63.76,0,0,0
NewVisitor,20170626,1414,100,1414,91.3,1.15,22.3,0,0,0
ReturningVisitor,20170228,1412,0,0,88.6,1.2,56.27,0,0,0
NewVisitor,20170528,1409,100,1409,85.24,1.26,52.61,0,0,0
ReturningVisitor,20170616,1398,0,0,86.48,1.25,71.83,0,0,0
ReturningVisitor,20161013,1396,0,0,87.25,1.23,62.68,0,0,0
ReturningVisitor,20170529,1393,0,0,81.12,1.31,66.42,0,0,0
ReturningVisitor,20170426,1390,0,0,85.4,1.25,63.52,0,0,0
NewVisitor,20170310,1388,100,1388,88.9,1.17,30.16,0,0,0
ReturningVisitor,20170223,1376,0,0,90.12,1.18,37.92,0,0,0
ReturningVisitor,20170519,1374,0,0,84.64,1.27,71.62,0,0,0
NewVisitor,20170326,1373,100,1373,89,1.16,33.47,0,0,0
NewVisitor,20170702,1370,100,1370,91.31,1.13,17.01,0,0,0
NewVisitor,20170606,1368,100,1368,90.35,1.18,37.9,0,0,0
NewVisitor,20160807,1366,100,1366,92.39,1.19,26.58,0,0,0
NewVisitor,20170610,1361,100,1361,89.13,1.19,36.71,0,0,0
ReturningVisitor,20170302,1356,0,0,89.16,1.19,41.49,0,0,0
ReturningVisitor,20161020,1354,0,0,85.6,1.26,52.71,0,0,0
NewVisitor,20170328,1346,100,1346,91.46,1.16,23.94,0,0,0
NewVisitor,20170625,1346,100,1346,91.23,1.16,25.07,0,0,0
NewVisitor,20170206,1344,100,1344,88.99,1.22,40.98,0,0,0
NewVisitor,20161229,1341,100,1341,89.86,1.18,20.23,0,0,0
